pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist
11 Com b,11 Com,Radial Velocity,2007,323.21,1.178,0.238,,4914.89848585,,4874.0,13.76,2.09,-0.26,93.1846
11 Com b,11 Com,Radial Velocity,2007,,1.21,,,5434.7,,,,2.6,,93.1846
11 Com b,11 Com,Radial Velocity,2007,326.03,1.29,0.231,,6165.6,,4742.0,19.0,2.7,-0.35,93.1846
11 UMi b,11 UMi,Radial Velocity,2009,,1.51,,,3432.4,,,,1.7,,125.321
11 UMi b,11 UMi,Radial Velocity,2009,516.22,1.54,0.08,,3337.07,,4340.0,24.08,1.8,0.04,125.321
11 UMi b,11 UMi,Radial Velocity,2009,516.21997,1.53,0.08,,4684.8142,,4213.0,29.79,2.78,-0.02,125.321
14 And b,14 And,Radial Velocity,2008,185.84,0.83,0.0,,1525.5,,4813.0,11.0,2.2,-0.24,75.4392
14 And b,14 And,Radial Velocity,2008,186.76,0.775,0.0,,1131.15130051,,4888.0,11.55,1.78,-0.21,75.4392
14 And b,14 And,Radial Velocity,2008,,0.68,,,1017.0,,,,1.2,,75.4392
14 Her b,14 Her,Radial Velocity,2002,1773.4,2.77,0.369,,1474.67,,,,,,17.9323
14 Her b,14 Her,Radial Velocity,2002,1765.0389,2.774,0.373,,2559.47216157,,,,0.91,,17.9323
14 Her b,14 Her,Radial Velocity,2002,1796.4,2.8,0.338,,1506.45,,5255.0,,0.9,0.51,17.9323
14 Her b,14 Her,Radial Velocity,2002,,2.73,0.357,,1440.663,,,,0.9,,17.9323
14 Her b,14 Her,Radial Velocity,2002,1773.40002,2.93,0.37,,1481.0878,,5338.0,0.93,0.9,0.41,17.9323
14 Her b,14 Her,Radial Velocity,2002,1766.0,2.864,0.359,,1581.138,,5280.0,1.00235,0.91,0.4,17.9323
14 Her b,14 Her,Radial Velocity,2002,1766.41,2.83,0.3674,,1541.46777395,,5314.94,0.995819,0.969205,0.4052,17.9323
14 Her b,14 Her,Radial Velocity,2002,1724.0,2.82,0.37,,1554.12,,,,1.0,0.35,17.9323
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.5,1.68,0.689,,533.93,,,,,,21.1397
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.5,1.68,0.689,,533.93,,5747.0,1.12827,1.03,0.06,21.1397
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.45,1.676,0.6832,,556.83536906,,5711.97,1.159464,0.982996,0.0739,21.1397
16 Cyg B b,16 Cyg B,Radial Velocity,1996,800.8,1.6,0.634,,476.7,,5760.0,,1.0,0.05,21.1397
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,1.66,0.68,,565.7374,,5750.0,1.13,1.08,0.06,21.1397
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,1.681,0.681,,533.9544,,5674.0,,0.99,0.038,21.1397
