pl_name,pl_orbper,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,sy_vmag,ra,dec,confirmation_status
Kepler-227 b,9.48803557,2.26,793.0,93.59,5455.0,4.467,0.927,15.347,291.93423,48.141651,CONFIRMED
Kepler-227 c,54.4183827,2.83,443.0,9.11,5455.0,4.467,0.927,15.347,291.93423,48.141651,CONFIRMED
,19.89913995,14.6,638.0,39.3,5853.0,4.544,0.868,15.436,297.00482,48.134129,CANDIDATE
Kepler-664 b,2.525591777,2.75,1406.0,926.16,6031.0,4.438,1.046,15.509,288.75488,48.2262,CONFIRMED
Kepler-228 d,11.09432054,3.9,835.0,114.81,6046.0,4.486,0.972,15.714,296.28613,48.22467,CONFIRMED
Kepler-228 c,4.13443512,2.77,1160.0,427.65,6046.0,4.486,0.972,15.714,296.28613,48.22467,CONFIRMED
Kepler-228 b,2.56658897,1.59,1360.0,807.74,6046.0,4.486,0.972,15.714,296.28613,48.22467,CONFIRMED
Kepler-229 c,16.06864674,5.76,600.0,30.75,5031.0,4.485,0.848,15.841,286.99948,48.37579,CONFIRMED
Kepler-1 b,2.470613377,13.04,1339.0,761.46,5820.0,4.457,0.964,11.338,286.80847,49.316399,CONFIRMED
Kepler-2 b,2.204735417,16.1,2048.0,4148.92,6440.0,4.019,1.952,10.463,292.24728,47.969521,CONFIRMED
Kepler-8 b,3.522498429,14.59,1521.0,1264.67,6225.0,4.169,1.451,13.563,281.28812,42.45108,CONFIRMED
Kepler-466 c,3.709214104,1.16,1206.0,500.46,5833.0,4.407,1.022,12.772,295.64871,48.49556,CONFIRMED
Kepler-660 b,9.27358173,2.47,649.0,41.85,4856.0,4.583,0.696,15.302,288.13824,47.724449,CONFIRMED
Kepler-661 b,6.02930329,2.85,678.0,50.04,4537.0,4.648,0.672,15.784,283.71088,47.86327,CONFIRMED
Kepler-226 c,5.349553819,2.55,919.0,168.99,5185.0,4.44,0.91,15.416,292.37613,47.880989,CONFIRMED
Kepler-226 b,3.94105221,1.7,1018.0,253.15,5185.0,4.44,0.91,15.416,292.37613,47.880989,CONFIRMED
Kepler-226 d,8.10904807,1.3,800.0,97.03,5185.0,4.44,0.91,15.416,292.37613,47.880989,CONFIRMED
Kepler-662 b,21.67699193,2.95,530.0,18.64,4954.0,4.5,0.828,15.377,290.46512,47.92918,CONFIRMED
Kepler-663 b,4.99677968,2.78,917.0,166.95,5339.0,4.552,0.847,15.861,297.80826,47.946671,CONFIRMED
Kepler-671 b,4.280963604,2.3,1012.0,247.87,5644.0,4.564,0.831,15.356,294.26581,49.314091,CONFIRMED
Kepler-672 b,38.3775486,2.82,529.0,18.53,5481.0,4.369,1.036,15.172,291.72202,49.480869,CONFIRMED
Kepler-229 d,41.19725502,3.86,439.0,8.76,5031.0,4.485,0.848,15.841,286.99948,48.37579,CONFIRMED
Kepler-229 b,6.252962249,2.65,823.0,108.3,5031.0,4.485,0.848,15.841,286.99948,48.37579,CONFIRMED
Kepler-665 b,16.01308419,3.1,593.0,29.31,5015.0,4.499,0.826,15.39,297.02563,48.478588,CONFIRMED
Kepler-230 b,32.62876672,3.36,506.0,15.55,5586.0,4.56,0.798,15.082,285.71854,48.505859,CONFIRMED
Kepler-230 c,91.7732862,2.12,359.0,3.92,5586.0,4.56,0.798,15.082,285.71854,48.505859,CONFIRMED
Kepler-1976 b,4.959319244,12.21,1103.0,349.4,5712.0,4.359,1.082,15.263,292.16705,48.727589,CONFIRMED
Kepler-666 b,4.49876511,2.1,1133.0,389.62,6075.0,4.486,0.969,15.395,298.45685,48.791592,CONFIRMED
Kepler-105 b,5.412203927,2.94,1093.0,337.68,5779.0,4.339,1.087,12.791,287.88733,46.276241,CONFIRMED
Kepler-667 b,41.43958662,5.5,516.0,16.72,5468.0,4.367,1.046,15.4,295.55505,49.017342,CONFIRMED
Kepler-668 b,8.35389523,2.52,790.0,91.9,5592.0,4.582,0.787,15.317,285.49924,49.277351,CONFIRMED
Kepler-669 b,4.125543472,4.43,1243.0,565.35,6174.0,4.417,1.103,15.506,291.93616,49.253979,CONFIRMED
