pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,origin
11 Com b,323.21,1.178,0.238,,4914.89848585,4874.0,13.76,2.09,-0.26,,Exoplanet
11 Com b,,1.21,,,5434.7,,,2.6,,,Exoplanet
11 Com b,326.03,1.29,0.231,,6165.6,4742.0,19.0,2.7,-0.35,,Exoplanet
11 UMi b,,1.51,,,3432.4,,,1.7,,,Exoplanet
11 UMi b,516.22,1.54,0.08,,3337.07,4340.0,24.08,1.8,0.04,,Exoplanet
11 UMi b,516.21997,1.53,0.08,,4684.8142,4213.0,29.79,2.78,-0.02,,Exoplanet
14 And b,185.84,0.83,0.0,,1525.5,4813.0,11.0,2.2,-0.24,,Exoplanet
14 And b,186.76,0.775,0.0,,1131.15130051,4888.0,11.55,1.78,-0.21,,Exoplanet
14 And b,,0.68,,,1017.0,,,1.2,,,Exoplanet
14 Her b,1773.4,2.77,0.369,,1474.67,,,,,,Exoplanet
14 Her b,1765.0389,2.774,0.373,,2559.47216157,,,0.91,,,Exoplanet
14 Her b,1796.4,2.8,0.338,,1506.45,5255.0,,0.9,0.51,,Exoplanet
14 Her b,,2.73,0.357,,1440.663,,,0.9,,,Exoplanet
14 Her b,1773.40002,2.93,0.37,,1481.0878,5338.0,0.93,0.9,0.41,,Exoplanet
14 Her b,1766.0,2.864,0.359,,1581.138,5280.0,1.00235,0.91,0.4,,Exoplanet
14 Her b,1766.41,2.83,0.3674,,1541.46777395,5314.94,0.995819,0.969205,0.4052,,Exoplanet
14 Her b,1724.0,2.82,0.37,,1554.12,,,1.0,0.35,,Exoplanet
16 Cyg B b,799.5,1.68,0.689,,533.93,,,,,,Exoplanet
16 Cyg B b,799.5,1.68,0.689,,533.93,5747.0,1.12827,1.03,0.06,,Exoplanet
16 Cyg B b,799.45,1.676,0.6832,,556.83536906,5711.97,1.159464,0.982996,0.0739,,Exoplanet
16 Cyg B b,800.8,1.6,0.634,,476.7,5760.0,,1.0,0.05,,Exoplanet
16 Cyg B b,798.5,1.66,0.68,,565.7374,5750.0,1.13,1.08,0.06,,Exoplanet
16 Cyg B b,798.5,1.681,0.681,,533.9544,5674.0,,0.99,0.038,,Exoplanet
17 Sco b,578.38,1.45,0.06,,1373.01871824,4157.0,25.92,1.22,-0.01,,Exoplanet
18 Del b,,2.54,,,3127.3,,,2.1,,,Exoplanet
18 Del b,982.85,2.476,0.024,,2926.24614325,4980.0,8.8,2.1,-0.06,,Exoplanet
18 Del b,993.3,2.6,0.08,,3273.5,4979.0,8.5,2.3,-0.052,,Exoplanet
1RXS J160929.1-210524 b,,330.0,,,3000.0,4060.0,,0.85,,1700.0,Exoplanet
1RXS J160929.1-210524 b,,330.0,,,3000.0,3993.0,1.31316,0.623,,1800.0,Exoplanet
1RXS J160929.1-210524 b,,330.0,,18.647,2543.0,4060.0,1.352,0.85,,1800.0,Exoplanet
1RXS J160929.1-210524 b,,330.0,,,4000.0,4060.0,,0.85,,1700.0,Exoplanet
24 Boo b,30.33,0.194,0.032,,280.64248338,4816.0,12.19,1.05,-0.78,,Exoplanet
24 Boo b,30.3506,0.19,0.042,,289.2253,4893.0,10.64,0.99,-0.77,,Exoplanet
24 Sex b,452.8,1.333,0.09,,632.46,5098.0,4.9,1.54,-0.03,,Exoplanet
24 Sex c,883.0,2.08,0.29,,273.32,5098.0,4.9,1.54,-0.03,,Exoplanet
2M0437 b,,118.0,,,1271.313628,3100.0,0.84,0.17,0.01,1450.0,Exoplanet
2MASS J01033563-5515561 AB b,,84.0,,,4131.79,,,0.19,,,Exoplanet
2MASS J01225093-2439505 b,,52.0,,,7786.5,3530.0,,0.4,,,Exoplanet
2MASS J01225093-2439505 b,,,,11.209,,3309.0,0.36645,0.353185,,1600.0,Exoplanet
2MASS J02192210-3925225 b,,156.0,,16.14096,4417.837,3064.0,0.281,0.108,,,Exoplanet
2MASS J0249-0557 c,,1950.0,,,3686.8095212,,,0.046,,,Exoplanet
2MASS J03590986+2009361 b,,572.0,,,5720.911326,,,,,2369.0,Exoplanet
2MASS J04414489+2301513 b,,15.0,,,2383.6,,,0.019,,,Exoplanet
2MASS J11011926-7732383 b,,266.0,,,8899.195396,,,,,2677.0,Exoplanet
2MASS J11550485-7919108 b,,587.0,,,6356.56814,,,,,2506.0,Exoplanet
2MASS J12073346-3932539 b,,46.0,,,1271.0,2825.0,0.21887,0.188001,,1150.0,Exoplanet
2MASS J12073346-3932539 b,,55.0,,,1589.15,,,0.024,,1250.0,Exoplanet
2MASS J19383260+4603591 b,406.0,,0.33,,591.16083702,29564.0,0.203,0.48,,,Exoplanet
2MASS J19383260+4603591 b,416.0,0.92,,,603.877,,,0.48,,,Exoplanet
2MASS J21252752-8138278 b,,7493.0,,,3813.940884,,,,,1616.0,Exoplanet
2MASS J22362452+4751425 b,,230.0,,,3972.875,4045.0,,0.6,,,Exoplanet
30 Ari B b,335.10001,0.99,0.29,,4392.4106,6331.0,1.41,1.93,0.19,,Exoplanet
30 Ari B b,335.1,0.995,0.289,,3140.03,6300.0,1.13,1.16,0.245,,Exoplanet
30 Ari B b,345.4,1.01,0.18,,2097.678,,1.13,1.16,,,Exoplanet
4 UMa b,270.27,0.877,0.453,,2511.48007211,4415.0,18.11,1.234,-0.25,,Exoplanet
4 UMa b,269.3,0.87,0.432,,2256.5,4415.0,18.11,1.234,-0.25,,Exoplanet
47 UMa b,1078.0,2.1,0.032,,804.08,5872.0,1.21334,1.06,0.04,,Exoplanet
47 UMa b,1083.2,2.11,0.049,,826.32,,,,,,Exoplanet
47 UMa b,1076.6,2.1,0.012,,778.6835,5882.0,,1.063,0.04,,Exoplanet
47 UMa b,1100.8,2.11,0.097,,877.17,,,,,,Exoplanet
47 UMa b,1076.6,2.059,0.016,,774.86565627,5829.16,1.136537,1.005192,0.0256,,Exoplanet
47 UMa c,2391.0,3.6,0.098,,171.621,5872.0,1.21334,1.06,0.04,,Exoplanet
47 UMa c,7586.0,7.73,0.005,,425.87,,,,,,Exoplanet
47 UMa c,2287.0,3.404,0.179,,157.96071828,5829.16,1.136537,1.005192,0.0256,,Exoplanet
47 UMa d,14002.0,11.6,0.16,,521.22,5872.0,1.21334,1.06,0.04,,Exoplanet
47 UMa d,19000.0,13.8,0.38,,479.92089457,5829.16,1.136537,1.005192,0.0256,,Exoplanet
51 Eri b,,13.2,,,635.66,,,1.75,-0.027,700.0,Exoplanet
51 Eri b,11688.0,12.0,0.45,,,7295.0,1.48726,1.65,,,Exoplanet
51 Eri b,14965.0,14.0,0.21,,,7295.0,1.48726,1.65,,,Exoplanet
51 Peg b,4.231,0.052,0.0,,146.2018,,,1.04,,,Exoplanet
51 Peg b,4.230785,0.0527,0.013,,150.009,5758.0,1.17561,1.03,0.18,,Exoplanet
51 Peg b,4.23077,0.052,0.0,,148.738,,,,,,Exoplanet
51 Peg b,4.2293,,0.0,,149.3801,5773.0,1.29,,0.2,,Exoplanet
51 Peg b,4.2307969,0.05235,0.0042,,147.47238085,5760.76,1.186744,1.069296,0.2058,,Exoplanet
55 Cnc b,14.647,0.115,0.03,,289.21,,,,,,Exoplanet
55 Cnc b,14.65162,0.115,0.014,,261.881,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc b,14.651,0.1134,0.004,,254.25,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc b,14.6516,0.1134,0.0,,255.4,5172.0,0.943,0.905,0.35,,Exoplanet
55 Cnc b,14.65126,0.1138,0.0159,,260.61,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc b,14.65152,0.11522725,0.0034,,263.9785,,,0.95,,,Exoplanet
55 Cnc b,14.465314,0.11339,0.0023,,266.966,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc b,14.65171,0.1162,0.0048,,267.29369029,5317.89,0.964411,0.974708,0.3833,,Exoplanet
55 Cnc b,14.648,0.11,0.051,,266.9772,5200.0,,0.85,0.23,,Exoplanet
55 Cnc b,14.67,0.115,0.0197,,249.17872,,,0.95,,,Exoplanet
55 Cnc b,14.653,0.115,0.02,,266.9772,,,0.95,0.27,,Exoplanet
55 Cnc b,14.6,0.113,0.0,,254.25,,,,,700.0,Exoplanet
55 Cnc c,44.3989,0.2373,0.03,,51.2,5172.0,0.943,0.905,0.35,,Exoplanet
55 Cnc c,44.3446,0.24,0.086,,53.711,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc c,43.93,0.24,0.44,,68.96911,,,0.95,,,Exoplanet
55 Cnc c,44.373,0.23735,0.072,,56.6985,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc c,44.4175,0.241376,0.02,,54.4738,,,0.95,,,Exoplanet
55 Cnc c,44.3827,0.2432,0.048,,54.3486576,5317.89,0.964411,0.974708,0.3833,,Exoplanet
55 Cnc c,44.3787,0.238,0.053,,52.44,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc c,44.38,0.237,0.07,,52.44,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc d,4820.0,5.54,0.139,,908.98924402,5317.89,0.964411,0.974708,0.3833,,Exoplanet
55 Cnc d,4517.4,5.257,0.327,,1243.35096,,,0.95,,,Exoplanet
55 Cnc d,4545.0,5.28,0.24,,918.49,,,,,,Exoplanet
55 Cnc d,4867.0,5.446,0.0269,,1226.77,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc d,5370.0,5.84,0.063,,1220.42,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc d,5574.2,5.957,0.13,,991.6,5172.0,0.943,0.905,0.35,,Exoplanet
55 Cnc d,4909.0,5.47,0.02,,1121.89,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc d,5218.0,5.77,0.025,,1218.827,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc d,4825.0,5.503,0.019,,1232.493,,,0.95,,,Exoplanet
55 Cnc d,5360.0,5.9,0.16,,1287.2115,,,0.95,0.27,,Exoplanet
55 Cnc e,,,,,,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc e,0.7365417,,,,,,,,,,Exoplanet
55 Cnc e,0.737,,,1.897,7.74,5172.0,0.954,0.873,0.35,,Exoplanet
55 Cnc e,0.736539,0.01544,,1.91,8.08,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc e,2.808,0.038,0.174,,14.30235,,,0.95,,,Exoplanet
55 Cnc e,0.73654625026,,,2.02311213,,5250.0,0.963515,,,1831.27,Exoplanet
55 Cnc e,0.7365474,,,1.947,8.59,,0.98,1.015,,,Exoplanet
55 Cnc e,0.73654604,,,,,,,,,,Exoplanet
55 Cnc e,0.73654,0.01583,,2.0,8.63,,0.943,0.963,,,Exoplanet
55 Cnc e,0.7365478,0.015439,0.028,,8.09479,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc e,,0.01544,,1.92,8.08,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc e,0.7365445,0.01583,0.036,,9.37593801,5317.89,0.964411,0.974708,0.3833,,Exoplanet
55 Cnc e,2.79674,0.0377,0.264,,7.4687,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc e,0.736546,0.01583,0.0,2.173,8.37,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc e,0.7365515,0.015690907,0.04,,8.13928,,,0.95,,,Exoplanet
55 Cnc e,0.7365437,0.01544,0.061,2.08,7.81,5234.0,0.943,0.905,0.31,1958.0,Exoplanet
55 Cnc e,0.736543,,,1.856,,5272.0,0.943,0.905,0.37,,Exoplanet
55 Cnc e,0.7365474,0.01544,0.05,1.875,7.99,5172.0,0.943,0.905,0.35,,Exoplanet
55 Cnc e,0.73654625,,,,,5234.0,0.943,0.905,0.31,,Exoplanet
55 Cnc f,260.91,0.7733,0.08,,47.0051,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc f,262.0,0.788,0.305,,44.812,,,0.95,,,Exoplanet
55 Cnc f,261.2,0.77,0.32,,54.664,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc f,259.88,0.7708,0.08,,47.8,5172.0,0.943,0.905,0.35,,Exoplanet
55 Cnc f,260.0,0.781,0.2,,45.766,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc f,260.7,0.775,0.0,,44.812,5250.0,0.963515,0.9,0.35,,Exoplanet
55 Cnc f,260.98,0.792,0.142,,46.87969003,5317.89,0.964411,0.974708,0.3833,,Exoplanet
6 Lyn b,934.3,2.11,0.073,,638.8383,4938.0,5.2,1.44,,,Exoplanet
6 Lyn b,874.774,2.18,0.125,,702.4043,,5.2,1.82,,,Exoplanet
6 Lyn b,919.86,2.028,0.042,,597.83523357,4941.0,4.94,1.32,-0.17,,Exoplanet
6 Lyn b,899.0,2.2,0.134,,762.8,4978.0,5.2,1.7,-0.13,,Exoplanet
61 Vir b,4.21487,0.04956,0.099,,5.11703735,5585.57,1.03251,0.914072,0.0275,,Exoplanet
61 Vir b,4.215,0.050201,0.12,,5.1,5577.0,0.963,0.942,-0.01,,Exoplanet
61 Vir c,38.0957,0.2151,0.068,,16.11390023,5585.57,1.03251,0.914072,0.0275,,Exoplanet
61 Vir c,38.021,0.2175,0.14,,18.2,5577.0,0.963,0.942,-0.01,,Exoplanet
61 Vir d,123.01,0.476,0.35,,22.9,5577.0,0.963,0.942,-0.01,,Exoplanet
7 CMa b,763.0,1.9,0.14,,826.3,4792.0,2.3,1.52,0.21,,Exoplanet
7 CMa b,796.0,1.93,0.22,,781.8618,4794.52,4.90843,,0.0882,,Exoplanet
7 CMa b,735.1,1.758,0.06,,587.9855,4826.0,4.87,1.34,0.21,,Exoplanet
7 CMa b,,1.8,,,616.5,,5.198,1.439,,,Exoplanet
7 CMa c,996.0,2.153,0.08,,276.5121,4826.0,4.87,1.34,0.21,,Exoplanet
7 CMa c,,2.205,,,289.9,,5.198,1.439,,,Exoplanet
70 Vir b,116.689,0.456,0.397,,2084.88,,,,,,Exoplanet
70 Vir b,116.6884,0.484,0.4007,,2380.45,5545.0,,1.11,-0.012,,Exoplanet
70 Vir b,116.6884,0.48,0.4,,2421.8646,5531.0,1.84,1.14,-0.06,,Exoplanet
70 Vir b,116.69335,0.4765,0.3989,,2297.89938261,5481.86,1.921943,1.06055,-0.0402,,Exoplanet
70 Vir b,116.688,0.481,0.3988,,2357.02728,5495.0,1.89,1.09,,,Exoplanet
70 Vir b,116.6926,0.481,0.399,,2351.942,5439.0,1.94,1.09,-0.09,,Exoplanet
75 Cet b,696.62,1.912,0.093,,787.89662095,4809.0,10.38,1.92,0.1,,Exoplanet
75 Cet b,691.9,2.1,0.117,,953.49,4846.0,10.5,2.49,0.0,,Exoplanet
75 Cet c,2051.62,3.929,0.023,,289.85950718,4809.0,10.38,1.92,0.1,,Exoplanet
8 UMi b,93.4,0.49,0.06,,476.745,4847.4,9.9,1.8,-0.03,,Exoplanet
8 UMi b,93.4,0.49,0.06,,416.3573,4847.0,10.3,1.44,-0.03,,Exoplanet
81 Cet b,,2.17,,,1274.4,,,1.6,,,Exoplanet
81 Cet b,1005.57,2.104,0.037,,1051.05854195,4734.0,11.21,1.23,-0.11,,Exoplanet
81 Cet b,952.7,2.5,0.206,,1684.4,4785.0,11.0,2.4,-0.06,,Exoplanet
91 Aqr b,181.4,0.7,0.027,,1017.0,4665.0,11.0,1.4,-0.03,,Exoplanet
AB Aur b,,93.9,0.4,,2860.455663,9770.0,,2.4,,,Exoplanet
AB Pic b,,260.0,,,4290.5,,,,,,Exoplanet
AF Lep b,8030.0,8.4,0.24,,1017.0509024,6130.0,1.25,1.2,0.19,,Exoplanet
AF Lep b,9060.0,9.3,0.32,,1366.6621501,6140.0,,1.13,,,Exoplanet
AF Lep b,7520.0,7.99,0.47,,1664.46736746,6100.0,1.25,1.201,,1400.0,Exoplanet
AT2021ueyL b,4168.69,4.01,,,425.89006538,3680.0,,0.49,,,Exoplanet
AU Mic b,8.46321,0.066,0.1,4.203375,57.2094,3700.0,0.75,0.5,,,Exoplanet
AU Mic b,8.463,,0.04,,11.7,3700.0,0.75,0.5,,,Exoplanet
AU Mic b,8.4631427,,,,10.2,3665.0,0.82,0.6,0.12,,Exoplanet
AU Mic b,8.46308,0.0649,0.00577,3.95677019,,3678.0,0.744,0.51,0.23,600.0,Exoplanet
AU Mic b,8.46321,,0.0,,,,,,,,Exoplanet
AU Mic b,8.463,0.0645,0.0,4.07,17.0,3700.0,0.75,0.5,,593.0,Exoplanet
AU Mic b,8.46321,,,,17.1,3700.0,0.75,0.5,,,Exoplanet
AU Mic b,,,,4.02692583,,3588.0,0.698009,,,754.62,Exoplanet
AU Mic b,8.4630004,0.0644,0.12,4.19,,,0.75,,,,Exoplanet
AU Mic b,8.4629991,0.0645,0.186,,20.12,,,0.5,,,Exoplanet
AU Mic c,18.85969,0.1108,0.00338,2.52202066,,3678.0,0.744,0.51,0.23,459.0,Exoplanet
AU Mic c,18.859019,,0.041,,22.2,3700.0,0.75,0.5,,,Exoplanet
AU Mic c,18.859019,0.1101,0.0,3.24,13.6,3700.0,0.75,0.5,,454.0,Exoplanet
AU Mic c,18.858982,0.11,0.13,2.79,,,0.75,,,,Exoplanet
AU Mic c,18.858991,0.1101,,,9.6,,,0.5,,,Exoplanet
AU Mic c,18.85882,,,,14.2,3665.0,0.82,0.6,0.12,,Exoplanet
